Description,Resolution,Topic,Priority,Survey results
CRITICAL: 5 USERS CANNOT ACCESS VPN suddenly just now. ENTIRE TEAM DOWN. URGENT FIX NEEDED.,Identified routing failure on VPN. Reconfigured network switch and updated routing table. Reset credentials and verified connectivity for all affected users. Issue resolved.,Network Issue,Critical,Dissatisfied
CRITICAL BUG: VS Code on Windows 10 is completely broken - infinite loop. ENTIRE TEAM BLOCKED. NEEDS IMMEDIATE FIX.,Identified infinite loop error in VS Code. Deployed hotfix and cleared application cache. Rolled out patch to all users. Verified functionality restored across all instances.,Software Bug,Critical,Dissatisfied
"When I use my desktop, it sometimes kernel panic. Not urgent but would like it looked at.",Ran memory test and found bad sectors on RAM. Replaced faulty module. System now boots without errors.,Hardware Failure,Low,Satisfied
Sometimes our internal CRM on Windows 10 shows 'connection timeout' but I can work around it. Just wanted to report it.,Investigated connection timeout in our internal CRM. Non-critical issue. Documented workaround and scheduled for next update.,Software Bug,Low,Neutral
My keyboard is unresponsive and impacting my team's work. We need this fixed urgently to meet our deadline.,Tried different USB port and replaced keyboard cable. Tested with external keyboard to isolate issue. New keyboard responsive.,Hardware Failure,High,Dissatisfied
entire floor are having trouble connecting to WiFi since this morning. This is severely impacting operations and needs urgent attention.,Diagnosed connectivity issue with WiFi. Updated network configuration and reset affected user connections. Verified all users can connect successfully.,Network Issue,High,Neutral
My printer is won't print. Can you help me fix this?,Reset printer to factory defaults and reinstalled drivers. Verified print queue was cleared. Test print successful.,Hardware Failure,Medium,Neutral
Critical issue: just me affected by laptop kernel panic. This is blocking our operations. Need immediate resolution.,"Identified kernel panic in system logs. Performed safe mode boot and ran memory diagnostics. Found faulty RAM module, replaced and confirmed issue resolved.",Hardware Failure,Critical,Neutral
"When I use my laptop, it sometimes won't boot. Not urgent but would like it looked at.","Ran startup repair utility, found corrupted boot sector. Repaired MBR and verified successful boot. User confirmed system working normally.",Hardware Failure,Low,Satisfied
I need quick help with: what is the policy on software licenses? This is important for my current project.,Answered question about what is the policy on software licenses. Provided step-by-step guidance and resources. User able to proceed with task.,General Inquiry,High,Neutral
"I've noticed my WiFi is a bit slow intermittently all week, but it still works. Just curious if anything can be done.",Reviewed WiFi performance metrics. Optimized settings and updated drivers. Performance improved.,Network Issue,Low,Neutral
CRITICAL BUG: Chrome on macOS is completely broken - connection timeout. ENTIRE TEAM BLOCKED. NEEDS IMMEDIATE FIX.,Identified connection timeout error in Chrome. Deployed hotfix and cleared application cache. Rolled out patch to all users. Verified functionality restored across all instances.,Software Bug,Critical,Dissatisfied
"I've noticed my ethernet is a bit slow for 2 days, but it still works. Just curious if anything can be done.",Reviewed ethernet performance metrics. Optimized settings and updated drivers. Performance improved.,Network Issue,Low,Dissatisfied
I have a client presentation in 2 hours and need to know where is the backup location? This is time-sensitive and needs immediate attention.,Provided comprehensive answer to where is the backup location. Escalated to HR team lead to ensure priority handling. User able to proceed immediately with client engagement.,General Inquiry,Critical,Neutral
I'm having trouble with WiFi intermittently all week. It's affecting my work.,Checked WiFi settings and found misconfiguration. Updated settings and tested connection successfully.,Network Issue,Medium,Neutral
"When you get a chance, I'd like contributor role on SharePoint. new joiner starting Monday.",Processed access request and granted contributor role on SharePoint. User confirmed receipt.,Access Request,Low,Satisfied
"When you get a chance, I'd like contributor role on GitHub. new joiner starting Monday.",Processed access request and granted contributor role on GitHub. User confirmed receipt.,Access Request,Low,Satisfied
Sometimes Chrome on Windows 11 shows '403 Forbidden' but I can work around it. Just wanted to report it.,Investigated 403 Forbidden in Chrome. Non-critical issue. Documented workaround and scheduled for next update.,Software Bug,Low,Neutral
I need write access on AWS console urgently. quarterly reviews starting. Please process ASAP.,Approved access request. Granted write access to AWS console. User notified and confirmed access successful.,Access Request,High,Dissatisfied
our internal CRM is giving me a 'Access Denied' error on macOS. Can you help me fix this?,Found Access Denied in our internal CRM. Applied patch and restarted application. Issue resolved.,Software Bug,Medium,Neutral
I need contributor role on AWS console urgently. client demo today. Please process ASAP.,Approved access request. Granted contributor role to AWS console. User notified and confirmed access successful.,Access Request,High,Dissatisfied
our internal CRM is giving me a 'connection timeout' error on Windows 11. Can you help me fix this?,Found connection timeout in our internal CRM. Applied patch and restarted application. Issue resolved.,Software Bug,Medium,Neutral
Sometimes Slack on Windows 11 shows '403 Forbidden' but I can work around it. Just wanted to report it.,Investigated 403 Forbidden in Slack. Non-critical issue. Documented workaround and scheduled for next update.,Software Bug,Low,Neutral
Excel is crashing with 'connection timeout' on macOS. Preventing work from being completed. Urgent fix needed.,Reproduced connection timeout issue in Excel. Pushed bug fix and updated all affected systems. Tested thoroughly and confirmed resolution.,Software Bug,High,Neutral
I have a client presentation in 2 hours and need to know what is the policy on software licenses? This is time-sensitive and needs immediate attention.,Provided comprehensive answer to what is the policy on software licenses. Escalated to HR team lead to ensure priority handling. User able to proceed immediately with client engagement.,General Inquiry,Critical,Neutral
My monitor is no display and impacting my team's work. We need this fixed urgently to meet our deadline.,Tested with different cable and power source. Replaced faulty video cable and reseated connections. Display now working correctly.,Hardware Failure,High,Dissatisfied
"When I use my printer, it sometimes won't print. Not urgent but would like it looked at.",Reset printer to factory defaults and reinstalled drivers. Verified print queue was cleared. Test print successful.,Hardware Failure,Low,Satisfied
I'm having trouble with internal network intermittently all week. It's affecting my work.,Checked internal network settings and found misconfiguration. Updated settings and tested connection successfully.,Network Issue,Medium,Neutral
Excel is crashing with 'crash on launch' on Windows 10. Preventing work from being completed. Urgent fix needed.,Reproduced crash on launch issue in Excel. Pushed bug fix and updated all affected systems. Tested thoroughly and confirmed resolution.,Software Bug,High,Neutral
Adobe Reader is crashing with 'infinite loop' on macOS. Preventing work from being completed. Urgent fix needed.,Reproduced infinite loop issue in Adobe Reader. Pushed bug fix and updated all affected systems. Tested thoroughly and confirmed resolution.,Software Bug,High,Neutral
